Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,ADC
PortA,PA0,,TIM2_CH1/TIM2_ETR,TIM5_CH1,TIM8_ETR,TIM15_BKIN,,,USART2_CTS/USART2_NSS,UART4_TX,SDMMC2_CMD,SAI2_SD_B,ETH_CRS,,,,EVENTOUT,ADC1_INP16,
PortA,PA0_C,,,,,,,,,,,,,,,,EVENTOUT,ADC1_INP16,
PortA,PA1,,TIM2_CH2,TIM5_CH2,LPTIM3_OUT,TIM15_CH1N,,,USART2_DE/USART2_RTS,UART4_RX,QUADSPI_BK1_IO3,SAI2_MCLK_B,ETH_REF_CLK/ETH_RX_CLK,,,LTDC_R2,EVENTOUT,ADC1_INN16/ADC1_INP17,
PortA,PA10,,TIM1_CH3,HRTIM_CHC2,LPUART1_RX,,,,USART1_RX,,,USB_OTG_FS_ID,MDIOS_MDIO,LTDC_B4,DCMI_D1,LTDC_B1,EVENTOUT,,
PortA,PA11,,TIM1_CH4,HRTIM_CHD1,LPUART1_CTS,,I2S2_WS/SPI2_NSS,UART4_RX,USART1_CTS/USART1_NSS,,FDCAN1_RX,USB_OTG_FS_DM,,,,LTDC_R4,EVENTOUT,,
PortA,PA12,,TIM1_ETR,HRTIM_CHD2,LPUART1_DE/LPUART1_RTS,,I2S2_CK/SPI2_SCK,UART4_TX,USART1_DE/USART1_RTS,SAI2_FS_B,FDCAN1_TX,USB_OTG_FS_DP,,,,LTDC_R5,EVENTOUT,,
PortA,PA13 (JTMS/SWDIO),DEBUG_JTMS-SWDIO,,,,,,,,,,,,,,,EVENTOUT,,
PortA,PA14 (JTCK/SWCLK),DEBUG_JTCK-SWCLK,,,,,,,,,,,,,,,EVENTOUT,,
PortA,PA15 (JTDI),DEBUG_JTDI,TIM2_CH1/TIM2_ETR,HRTIM_FLT1,,CEC,I2S1_WS/SPI1_NSS,I2S3_WS/SPI3_NSS,SPI6_NSS,UART4_DE/UART4_RTS,,,UART7_TX,,DSIHOST_TE,,EVENTOUT,,
PortA,PA1_C,,,,,,,,,,,,,,,,EVENTOUT,ADC1_INN16/ADC1_INP17,
PortA,PA2,,TIM2_CH3,TIM5_CH3,LPTIM4_OUT,TIM15_CH1,,,USART2_TX,SAI2_SCK_B,,,ETH_MDIO,MDIOS_MDIO,,LTDC_R1,EVENTOUT,ADC1_INP14/ADC2_INP14,
PortA,PA3,,TIM2_CH4,TIM5_CH4,LPTIM5_OUT,TIM15_CH2,,,USART2_RX,,LTDC_B2,USB_OTG_HS_ULPI_D0,ETH_COL,,,LTDC_B5,EVENTOUT,ADC1_INP15/ADC2_INP15,
PortA,PA4,,,TIM5_ETR,,,I2S1_WS/SPI1_NSS,I2S3_WS/SPI3_NSS,USART2_CK,SPI6_NSS,,,,USB_OTG_HS_SOF,DCMI_HSYNC,LTDC_VSYNC,EVENTOUT,ADC1_INP18/ADC2_INP18,
PortA,PA5,,TIM2_CH1/TIM2_ETR,,TIM8_CH1N,,I2S1_CK/SPI1_SCK,,,SPI6_SCK,,USB_OTG_HS_ULPI_CK,,,,LTDC_R4,EVENTOUT,ADC1_INN18/ADC1_INP19/ADC2_INN18/ADC2_INP19,
PortA,PA6,,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,,I2S1_SDI/SPI1_MISO,,,SPI6_MISO,TIM13_CH1,TIM8_BKIN_COMP1/TIM8_BKIN_COMP2,MDIOS_MDC,TIM1_BKIN_COMP1/TIM1_BKIN_COMP2,DCMI_PIXCLK,LTDC_G2,EVENTOUT,ADC1_INP3/ADC2_INP3,
PortA,PA7,,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,,I2S1_SDO/SPI1_MOSI,,,SPI6_MOSI,TIM14_CH1,,ETH_CRS_DV/ETH_RX_DV,FMC_SDNWE,,,EVENTOUT,ADC1_INN3/ADC1_INP7/ADC2_INN3/ADC2_INP7,
PortA,PA8,RCC_MCO_1,TIM1_CH1,HRTIM_CHB2,TIM8_BKIN2,I2C3_SCL,,,USART1_CK,,,USB_OTG_FS_SOF,UART7_RX,TIM8_BKIN2_COMP1/TIM8_BKIN2_COMP2,LTDC_B3,LTDC_R6,EVENTOUT,,
PortA,PA9,,TIM1_CH2,HRTIM_CHC1,LPUART1_TX,I2C3_SMBA,I2S2_CK/SPI2_SCK,,USART1_TX,,,,,,DCMI_D0,LTDC_R5,EVENTOUT,,
PortB,PB0,,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,,,DFSDM1_CKOUT,,UART4_CTS,LTDC_R3,USB_OTG_HS_ULPI_D1,ETH_RXD2,,,LTDC_G1,EVENTOUT,ADC1_INN5/ADC1_INP9/ADC2_INN5/ADC2_INP9,
PortB,PB1,,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,,,DFSDM1_DATIN1,,,LTDC_R6,USB_OTG_HS_ULPI_D2,ETH_RXD3,,,LTDC_G0,EVENTOUT,ADC1_INP5/ADC2_INP5,
PortB,PB10,,TIM2_CH3,HRTIM_SCOUT,LPTIM2_IN1,I2C2_SCL,I2S2_CK/SPI2_SCK,DFSDM1_DATIN7,USART3_TX,,QUADSPI_BK1_NCS,USB_OTG_HS_ULPI_D3,ETH_RX_ER,,,LTDC_G4,EVENTOUT,,
PortB,PB11,,TIM2_CH4,HRTIM_SCIN,LPTIM2_ETR,I2C2_SDA,,DFSDM1_CKIN7,USART3_RX,,,USB_OTG_HS_ULPI_D4,ETH_TX_EN,,DSIHOST_TE,LTDC_G5,EVENTOUT,,
PortB,PB12,,TIM1_BKIN,,,I2C2_SMBA,I2S2_WS/SPI2_NSS,DFSDM1_DATIN1,USART3_CK,,FDCAN2_RX,USB_OTG_HS_ULPI_D5,ETH_TXD0,USB_OTG_HS_ID,TIM1_BKIN_COMP1/TIM1_BKIN_COMP2,UART5_RX,EVENTOUT,,
PortB,PB13,,TIM1_CH1N,,LPTIM2_OUT,,I2S2_CK/SPI2_SCK,DFSDM1_CKIN1,USART3_CTS/USART3_NSS,,FDCAN2_TX,USB_OTG_HS_ULPI_D6,ETH_TXD1,,,UART5_TX,EVENTOUT,,
PortB,PB14,,TIM1_CH2N,TIM12_CH1,TIM8_CH2N,USART1_TX,I2S2_SDI/SPI2_MISO,DFSDM1_DATIN2,USART3_DE/USART3_RTS,UART4_DE/UART4_RTS,SDMMC2_D0,,,USB_OTG_HS_DM,,,EVENTOUT,,
PortB,PB15,RTC_REFIN,TIM1_CH3N,TIM12_CH2,TIM8_CH3N,USART1_RX,I2S2_SDO/SPI2_MOSI,DFSDM1_CKIN2,,UART4_CTS,SDMMC2_D1,,,USB_OTG_HS_DP,,,EVENTOUT,,
PortB,PB2,RTC_OUT_ALARM/RTC_OUT_CALIB,,SAI1_D1,,DFSDM1_CKIN1,,SAI1_SD_A,I2S3_SDO/SPI3_MOSI,SAI4_SD_A,QUADSPI_CLK,SAI4_D1,,,,,EVENTOUT,,
PortB,PB3 (JTDO/TRACESWO),DEBUG_JTDO-SWO,TIM2_CH2,HRTIM_FLT4,,,I2S1_CK/SPI1_SCK,I2S3_CK/SPI3_SCK,,SPI6_SCK,SDMMC2_D2,CRS_SYNC,UART7_RX,,,,EVENTOUT,,
PortB,PB4 (NJTRST),SYS_JTRST,TIM16_BKIN,TIM3_CH1,HRTIM_EEV6,,I2S1_SDI/SPI1_MISO,I2S3_SDI/SPI3_MISO,I2S2_WS/SPI2_NSS,SPI6_MISO,SDMMC2_D3,,UART7_TX,,,,EVENTOUT,,
PortB,PB5,,TIM17_BKIN,TIM3_CH2,HRTIM_EEV7,I2C1_SMBA,I2S1_SDO/SPI1_MOSI,I2C4_SMBA,I2S3_SDO/SPI3_MOSI,SPI6_MOSI,FDCAN2_RX,USB_OTG_HS_ULPI_D7,ETH_PPS_OUT,FMC_SDCKE1,DCMI_D10,UART5_RX,EVENTOUT,,
PortB,PB6,,TIM16_CH1N,TIM4_CH1,HRTIM_EEV8,I2C1_SCL,CEC,I2C4_SCL,USART1_TX,LPUART1_TX,FDCAN2_TX,QUADSPI_BK1_NCS,DFSDM1_DATIN5,FMC_SDNE1,DCMI_D5,UART5_TX,EVENTOUT,,
PortB,PB7,,TIM17_CH1N,TIM4_CH2,HRTIM_EEV9,I2C1_SDA,,I2C4_SDA,USART1_RX,LPUART1_RX,,,DFSDM1_CKIN5,FMC_NL,DCMI_VSYNC,,EVENTOUT,,
PortB,PB8,,TIM16_CH1,TIM4_CH3,DFSDM1_CKIN7,I2C1_SCL,,I2C4_SCL,SDMMC1_CKIN,UART4_RX,FDCAN1_RX,SDMMC2_D4,ETH_TXD3,SDMMC1_D4,DCMI_D6,LTDC_B6,EVENTOUT,,
PortB,PB9,,TIM17_CH1,TIM4_CH4,DFSDM1_DATIN7,I2C1_SDA,I2S2_WS/SPI2_NSS,I2C4_SDA,SDMMC1_CDIR,UART4_TX,FDCAN1_TX,SDMMC2_D5,I2C4_SMBA,SDMMC1_D5,DCMI_D7,LTDC_B7,EVENTOUT,,
PortC,PC0,,,,DFSDM1_CKIN0,,,DFSDM1_DATIN4,,SAI2_FS_B,,USB_OTG_HS_ULPI_STP,,FMC_SDNWE,,LTDC_R5,EVENTOUT,ADC1_INP10/ADC2_INP10/ADC3_INP10,
PortC,PC1,DEBUG_TRACED0,,SAI1_D1,DFSDM1_DATIN0,DFSDM1_CKIN4,I2S2_SDO/SPI2_MOSI,SAI1_SD_A,,SAI4_SD_A,SDMMC2_CK,SAI4_D1,ETH_MDC,MDIOS_MDC,,,EVENTOUT,ADC1_INN10/ADC1_INP11/ADC2_INN10/ADC2_INP11/ADC3_INN10/ADC3_INP11,
PortC,PC10,,,HRTIM_EEV1,DFSDM1_CKIN5,,,I2S3_CK/SPI3_SCK,USART3_TX,UART4_TX,QUADSPI_BK1_IO1,,,SDMMC1_D2,DCMI_D8,LTDC_R2,EVENTOUT,,
PortC,PC11,,,HRTIM_FLT2,DFSDM1_DATIN5,,,I2S3_SDI/SPI3_MISO,USART3_RX,UART4_RX,QUADSPI_BK2_NCS,,,SDMMC1_D3,DCMI_D4,,EVENTOUT,,
PortC,PC12,DEBUG_TRACED3,,HRTIM_EEV2,,,,I2S3_SDO/SPI3_MOSI,USART3_CK,UART5_TX,,,,SDMMC1_CK,DCMI_D9,,EVENTOUT,,
PortC,PC13,,,,,,,,,,,,,,,,EVENTOUT,,
PortC,PC14-OSC32_IN (OSC32_IN),,,,,,,,,,,,,,,,EVENTOUT,,
PortC,PC15-OSC32_OUT (OSC32_OUT),,,,,,,,,,,,,,,,EVENTOUT,,
PortC,PC2,,,,DFSDM1_CKIN1,,I2S2_SDI/SPI2_MISO,DFSDM1_CKOUT,,,,USB_OTG_HS_ULPI_DIR,ETH_TXD2,FMC_SDNE0,,,EVENTOUT,ADC1_INN11/ADC1_INP12/ADC2_INN11/ADC2_INP12/ADC3_INN11/ADC3_INP12,
PortC,PC2_C,,,,DFSDM1_CKIN1,,I2S2_SDI/SPI2_MISO,DFSDM1_CKOUT,,,,USB_OTG_HS_ULPI_DIR,ETH_TXD2,FMC_SDNE0,,,EVENTOUT,ADC1_INN11/ADC1_INP12/ADC2_INN11/ADC2_INP12/ADC3_INN11/ADC3_INP12,
PortC,PC3,,,,DFSDM1_DATIN1,,I2S2_SDO/SPI2_MOSI,,,,,USB_OTG_HS_ULPI_NXT,ETH_TX_CLK,FMC_SDCKE0,,,EVENTOUT,ADC1_INN12/ADC1_INP13/ADC2_INN12/ADC2_INP13,
PortC,PC3_C,,,,DFSDM1_DATIN1,,I2S2_SDO/SPI2_MOSI,,,,,USB_OTG_HS_ULPI_NXT,ETH_TX_CLK,FMC_SDCKE0,,,EVENTOUT,ADC1_INN12/ADC1_INP13/ADC2_INN12/ADC2_INP13,
PortC,PC4,,,,DFSDM1_CKIN2,,I2S1_MCK,,,,SPDIFRX1_IN2,,ETH_RXD0,FMC_SDNE0,,,EVENTOUT,ADC1_INP4/ADC2_INP4,
PortC,PC5,,,SAI1_D3,DFSDM1_DATIN2,,,,,,SPDIFRX1_IN3,SAI4_D3,ETH_RXD1,FMC_SDCKE0,COMP1_OUT,,EVENTOUT,ADC1_INN4/ADC1_INP8/ADC2_INN4/ADC2_INP8,
PortC,PC6,,HRTIM_CHA1,TIM3_CH1,TIM8_CH1,DFSDM1_CKIN3,I2S2_MCK,,USART6_TX,SDMMC1_D0DIR,FMC_NWAIT,SDMMC2_D6,,SDMMC1_D6,DCMI_D0,LTDC_HSYNC,EVENTOUT,,
PortC,PC7,DEBUG_TRGIO,HRTIM_CHA2,TIM3_CH2,TIM8_CH2,DFSDM1_DATIN3,,I2S3_MCK,USART6_RX,SDMMC1_D123DIR,FMC_NE1,SDMMC2_D7,SWPMI1_TX,SDMMC1_D7,DCMI_D1,LTDC_G6,EVENTOUT,,
PortC,PC8,DEBUG_TRACED1,HRTIM_CHB1,TIM3_CH3,TIM8_CH3,,,,USART6_CK,UART5_DE/UART5_RTS,FMC_NCE/FMC_NE2,,SWPMI1_RX,SDMMC1_D0,DCMI_D2,,EVENTOUT,,
PortC,PC9,RCC_MCO_2,,TIM3_CH4,TIM8_CH4,I2C3_SDA,I2S_CKIN,,,UART5_CTS,QUADSPI_BK1_IO0,LTDC_G3,SWPMI1_SUSPEND,SDMMC1_D1,DCMI_D3,LTDC_B2,EVENTOUT,,
PortD,PD0,,,,DFSDM1_CKIN6,,,SAI3_SCK_A,,UART4_RX,FDCAN1_RX,,,FMC_D2/FMC_DA2,,,EVENTOUT,,
PortD,PD1,,,,DFSDM1_DATIN6,,,SAI3_SD_A,,UART4_TX,FDCAN1_TX,,,FMC_D3/FMC_DA3,,,EVENTOUT,,
PortD,PD10,,,,DFSDM1_CKOUT,,,SAI3_FS_B,USART3_CK,,,,,FMC_D15/FMC_DA15,,LTDC_B3,EVENTOUT,,
PortD,PD11,,,,LPTIM2_IN2,I2C4_SMBA,,,USART3_CTS/USART3_NSS,,QUADSPI_BK1_IO0,SAI2_SD_A,,FMC_A16,,,EVENTOUT,,
PortD,PD12,,LPTIM1_IN1,TIM4_CH1,LPTIM2_IN1,I2C4_SCL,,,USART3_DE/USART3_RTS,,QUADSPI_BK1_IO1,SAI2_FS_A,,FMC_A17,,,EVENTOUT,,
PortD,PD13,,LPTIM1_OUT,TIM4_CH2,,I2C4_SDA,,,,,QUADSPI_BK1_IO3,SAI2_SCK_A,,FMC_A18,,,EVENTOUT,,
PortD,PD14,,,TIM4_CH3,,,,SAI3_MCLK_B,,UART8_CTS,,,,FMC_D0/FMC_DA0,,,EVENTOUT,,
PortD,PD15,,,TIM4_CH4,,,,SAI3_MCLK_A,,UART8_DE/UART8_RTS,,,,FMC_D1/FMC_DA1,,,EVENTOUT,,
PortD,PD2,DEBUG_TRACED2,,TIM3_ETR,,,,,,UART5_RX,,,,SDMMC1_CMD,DCMI_D11,,EVENTOUT,,
PortD,PD3,,,,DFSDM1_CKOUT,,I2S2_CK/SPI2_SCK,,USART2_CTS/USART2_NSS,,,,,FMC_CLK,DCMI_D5,LTDC_G7,EVENTOUT,,
PortD,PD4,,,HRTIM_FLT3,,,,SAI3_FS_A,USART2_DE/USART2_RTS,,,,,FMC_NOE,,,EVENTOUT,,
PortD,PD5,,,HRTIM_EEV3,,,,,USART2_TX,,,,,FMC_NWE,,,EVENTOUT,,
